Question;Answer;
I would like to know more about zakat ( obligatory charity ) . I recently purchased some items some of which I intend to resell and some to give as a gift.  Do I need to pay zakat on my income and on my recent purchases ?  If so, then when ?;Zakat (obligatory charity )  is paid on income not assets. You should pay zakat whenever you have income, whether it is from a paycheck or profitable sale of property. According to the Quran, zakat should be paid when we receive the income [1]. Paying zakat on assets is an innovation of scholars and has no basis in the Quran.  A specific portion, traditionally 2.5% of one’s income, is paid to people in need according to the following priorities: parents, relatives, orphans, the poor, and traveling alien [2]. Relevant Quran Verses:  [1] 6:141, [2] 2:177. ;
I made a mistake.  I have prayed and made sure that it won’t happen again, but I am still tense.  How can I be sure that Allah will accept my repentance ? ;God accepts the repentance of the sincere [1].  You have repented to God, so it is upon you to make sure of your sincerity.  It is essential to guard against similar mistakes in the future and be sure that God is the highest priority in your life [2]. Remembering God and asking for guidance frequently helps us to avoid sin and avoid situations where we are more likely to stray. Relevant Quran Verses: [1] 3:90, 4:17-18, 5:74, 9:104, 40:3, 42:25, [2]  5:91, 9:11, 17:19, 17:25.;
Is it true that when Muslims are praying, they should never allow themselves to be disturbed even in the event of an emergency ?;There is a distinction between prayer, commemoration, and Contact Prayers.  We can pray to God at any time for any blessing. We must pray to God alone [1].  The Quran dictates upon us, that we should commemorate God as often as possible [2].  Contact Prayers, or Salat, is dictated upon all believers five times a day - dawn, noon, afternoon, sunset and night. The Contact Prayers are mentioned by name in the Quran. How to perform Salat and other religious duties in Islam were taught to the prophet Abraham and brought down to us through the generations [3].  The Quran provides corrections to any corruptions in the practices.  During Contact Prayers, Muslims generally would not allow themselves to be disturbed. However, common sense dictates that a real emergency situation would require a different response.  They can allow themselves to be disturbed if the situation requires it. Relevant Quran Verses: [1] 1:5, 2:186, 39:17, [2]  24:36, 73:8, 76:25,  [3] 16:123, 22:78, 4:103, Contact Prayers at Islam Unraveled.org.;
 how long does a widow have to wait before remarrying;The Quran states four months and 10 days [1] Relevant Quran Verses: [1]  2:234,  [2] 6:114, 7:52, 9:54;
Am I allowed to seek a loan from a commercial bank, even though they charge interest ?;The Quran forbids usury, not interest [1].  Usury is defined as excessive interest andt there is nothing wrong with taking or giving interest according to the Quran.  The Arabic language also makes distinction between interest (Fa'eda )  and usury (Reba ) . In practical terms as long as we are dealing with a state-licensed institution, we should be dealing with interest and not usury. Borrowing money and thus paying interest for loans is an essential component for people, businesses and organizations. Thus paying interest, as long as it is not considered excessive by the standard of the day and community is allowed and perfectly legal from a Quranic point of view. Relevant Quran Verses: [1] 2:275-280, 3:130, 4:161, 30:39.;
Are the contact prayers ( Salat )  ever mentioned in the Bible ?  Did Jesus instruct the Christians to observe Salat ?  Did Jesus do Salat ?;All practices in Islam were delivered to the prophet Abraham [1].   Jesus was a prophet who followed Abraham and in the Quran, God informs us that Jesus did indeed observe the contact prayers [2].  Many verses within the Bible refer to Jesus praying alone and with his companions.  Specifically, the Bible states that Jesus instructed people to recite specific words when they pray and to devote their prayers to God alone [3].  These words are similar to Sura 1 “The Key” [4].Relevant Quran Verses: [1] 2:125-129, 21:72-73, 22:78,  [2]  19:29-34,  [3] Mathew 6: 9-13, [4] 1:1-7;
Is there a way I can observe my contact prayers while standing ?  I have a spinal problem and cannot do much bending ?;God willing, your condition will improve. You can certainly do your contact prayer standing or sitting or lying down [1]. Just repeat the words without the movements.  If you have a problem doing ablution, you can do the dry ablution per the following verse [2].  Fortunately for us, God has provided us flexibility so that we may observe our religion under all situations. Relevant Quran Verses: [1]  2:239, [2]  5:6.;
Are all Muslim’s destined to go to Heaven after they complete their time in Hell ?;Hell is eternal [1]. Thus anyone destined for Hell, whoever they may be, whether they call themselves a Muslim, Christian, Jew, Hindu, Atheist, etc… will be there for an eternity. The same applies for anyone destined for Heaven, no matter what they call themselves [2].  The good news is that the minimum criteria for achieving the eternity of Heaven is belief in God, belief in the Last Day, and leading a righteous life [3]. Relevant Quran Verses: [1]5:37, 19:86, 41:28, 18:102,  [2]  22:17,  [3] 2:62, 5:69. ;
Is it ok for my husband and his family to forbid me from talking to my family because of an argument ?;The answer to your question is no.  The Quran does not allow for the man to dictate his wife’s communications and relationships, except in the case of her dishonoring him in his absence [1].  As a matter of fact, instead of allowing oppression of women, the Quran is more pro-women’s rights.  It sets up protections of women’s rights, such as property, marriage, inheritance and dowry rights in Sura 4, Women [2].  The Quran encourages communication, like in the following example for a more serious situation than an argument.  Sura 4, Verse 35 states that, if a couple fears separation, you shall appoint an arbitrator from his family and an arbitrator from her family, if they decide to reconcile, GOD will help them get together. GOD is Omniscient, Cognizant [3]. Relevant Quran Verses: [1]  4:34, [2]  4:19-20, 4:23, 4:24, 4:7, 4:29,;
"Who is the Queen of Sheba ?
";Bilkis;
In which sura the regulation for prisoner of war is mentioned ?;  Sura Nesa.;
In which surah the regulation for prisoner of war is mentioned ?;  Sura Nesa.;
Which sura is having the laws about marriage ?;  Sura Nesa.;
Which surah is having the laws about marriage ?;  Sura Nesa.;
In which sura the story of the worship of cow of Bani Esra’iel is mentioned ? ; Sura Taha.;
In which surah the story of the worship of cow of Bani Esra’iel is mentioned ? ; Sura Taha.;
In which sura the law of inheritance is mentioned ? ; Sura Nesa.;
In which surah the law of inheritance is mentioned ? ; Sura Nesa.;
In which Sura the 27 Attributes of God are mentioned ?;  Sura Hadeed;
In which Surah the 27 Attributes of God are mentioned ?;  Sura Hadeed;
In which Sura the story of  Adam & Hawa, their coming in this world is mentioned ? ; Sura Taha.;
In which Surah the story of  Adam & Hawa, their coming in this world is mentioned ? ; Sura Taha.;
In which sura the order for the obedience of Islamic leader is mentioned ?  ;Sura Nesa.;
In which surah the order for the obedience of Islamic leader is mentioned ?  ;Sura Nesa.;
Which Sura all its verses end with letter ‘Seen’ ? ;Sura Naas;
Which Surah all its verses end with letter ‘Seen’ ? ;Sura Naas;
Which Sura is called Al-Ghafer ? ;Sura Momem.;
Which Surah is called Al-Ghafer ? ;Sura Momem.;
In which sura the holy war of Badr is mentioned ? ; Sura Anfal.;
In which surah the holy war of Badr is mentioned ? ; Sura Anfal.;
In which sura the story of Karoon is mentioned ? ; Sura Qasas.;
In which sura the story of Karun is mentioned ? ; Sura Qasas.;
In which surah the story of Karoon is mentioned ? ; Sura Qasas.;
What is the other name of Surah Touba ?;  Sura Bara’at.;
What is the other name of Sura Touba ?;  Sura Bara’at.;
Who is the creator  ?;(40:64 )  Allah, it is he Who has made for you the earth as a dwelling place and the sky as a canopy. and has given you shape and made your shapes good (looking )  and has provided you with good things. That is Allah, your Lord: so Blessed be Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . (39:6 )  He created you (all )  from a single person (Adam )  , then made from him his wife {Hawwa , (Eve ) }. and He has sent down for you of cattle eight pairs (of the sheep , two , male and female , of the goats , two , male and female of the oxen , two , male and female and of the camels, two, male and female ) . He creates you in the wombs of your mothers: creation after creation in there veils of darkness. Such is Allah your Lord His is the Kingdom. La ilaha illa Huwa (none has the right to be worshipped but He ) . How then are you turned away ? (7:54 )  Indeed your Lord is Allah, Who created the heavens and the earth in six days, and then He rose over (Istawa )  the Throne (really in manner that suits His Majesty ) . He brings the night as a cover over the day, seeking it rapidly , and (He created )  the sun, the moon, the stars subjected to His Command. Surely, His is the Creation and Commandment. Blessed is Allah, the Lord of the Alamin (mankind, jinn and all that exists ) ! (10:32 )  Such is Allah, your Lord in truth. So after the truth, what else can there be, save error. How then are you turned away ?;
Who created us;(40:64 )  Allah, it is he Who has made for you the earth as a dwelling place and the sky as a canopy. and has given you shape and made your shapes good (looking )  and has provided you with good things. That is Allah, your Lord: so Blessed be Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . (39:6 )  He created you (all )  from a single person (Adam )  , then made from him his wife {Hawwa , (Eve ) }. and He has sent down for you of cattle eight pairs (of the sheep , two , male and female , of the goats , two , male and female of the oxen , two , male and female and of the camels, two, male and female ) . He creates you in the wombs of your mothers: creation after creation in there veils of darkness. Such is Allah your Lord His is the Kingdom. La ilaha illa Huwa (none has the right to be worshipped but He ) . How then are you turned away ? (7:54 )  Indeed your Lord is Allah, Who created the heavens and the earth in six days, and then He rose over (Istawa )  the Throne (really in manner that suits His Majesty ) . He brings the night as a cover over the day, seeking it rapidly , and (He created )  the sun, the moon, the stars subjected to His Command. Surely, His is the Creation and Commandment. Blessed is Allah, the Lord of the Alamin (mankind, jinn and all that exists ) ! (10:32 )  Such is Allah, your Lord in truth. So after the truth, what else can there be, save error. How then are you turned away ?;
Who created all things?;(40:64 )  Allah, it is he Who has made for you the earth as a dwelling place and the sky as a canopy. and has given you shape and made your shapes good (looking )  and has provided you with good things. That is Allah, your Lord: so Blessed be Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . (39:6 )  He created you (all )  from a single person (Adam )  , then made from him his wife {Hawwa , (Eve ) }. and He has sent down for you of cattle eight pairs (of the sheep , two , male and female , of the goats , two , male and female of the oxen , two , male and female and of the camels, two, male and female ) . He creates you in the wombs of your mothers: creation after creation in there veils of darkness. Such is Allah your Lord His is the Kingdom. La ilaha illa Huwa (none has the right to be worshipped but He ) . How then are you turned away ? (7:54 )  Indeed your Lord is Allah, Who created the heavens and the earth in six days, and then He rose over (Istawa )  the Throne (really in manner that suits His Majesty ) . He brings the night as a cover over the day, seeking it rapidly , and (He created )  the sun, the moon, the stars subjected to His Command. Surely, His is the Creation and Commandment. Blessed is Allah, the Lord of the Alamin (mankind, jinn and all that exists ) ! (10:32 )  Such is Allah, your Lord in truth. So after the truth, what else can there be, save error. How then are you turned away ?;
Did you think that Allah created you only for play and without any purpose   ?;(3:115 )  “Did you think that We had created you in play (without any purpose ) , and that you would not be brought back to Us ?” ;
What is the purpose for which did  Allah create mankind;(3:115 )  “Did you think that We had created you in play (without any purpose ) , and that you would not be brought back to Us ?” ;
What is the purpose Allah created us for? ;(3:115 )  “Did you think that We had created you in play (without any purpose ) , and that you would not be brought back to Us ?” ;
why did  Allah create mankind;(3:115 )  “Did you think that We had created you in play (without any purpose ) , and that you would not be brought back to Us ?” ;
For what did Allah create mankind  ?;(51:56 )  And I (Allah )  created not the jinn and mankind except that they should worship Me (Alone ) .;
What did Allah command us to do  ?;(4:58 )  Verily! Allah commands that you should render back the trusts to those to whom they are due, and that when you judge between men, you judge with justice. Verily, how excellent is the teaching with He (Allah )  gives you! Truly, Allah is Ever All-Hearer, All-Seer. (6:151 )  Say (O Muhammad (PBUH ) )   :“Come, I will recite what your Lord has prohibited you from: be Join not anything in worship with Him, be good and dutiful to your parents, Kill not your children because of poverty – We provide sustenance for you and for them, come not near to Al-Fawahish (shameful sins, illegal sexual intercourse )  whether committed openly or secretly, and kill not anyone whom Allah has forbidden, except for a just cause (according to Islamic law ) . This He has commanded you that you may understand.;
What are the commands of God to mankind;(4:58 )  Verily! Allah commands that you should render back the trusts to those to whom they are due, and that when you judge between men, you judge with justice. Verily, how excellent is the teaching with He (Allah )  gives you! Truly, Allah is Ever All-Hearer, All-Seer. (6:151 )  Say (O Muhammad (PBUH ) )   :“Come, I will recite what your Lord has prohibited you from: be Join not anything in worship with Him, be good and dutiful to your parents, Kill not your children because of poverty – We provide sustenance for you and for them, come not near to Al-Fawahish (shameful sins, illegal sexual intercourse )  whether committed openly or secretly, and kill not anyone whom Allah has forbidden, except for a just cause (according to Islamic law ) . This He has commanded you that you may understand.;
What did Allah order us to do ?;(4:58 )  Verily! Allah commands that you should render back the trusts to those to whom they are due, and that when you judge between men, you judge with justice. Verily, how excellent is the teaching with He (Allah )  gives you! Truly, Allah is Ever All-Hearer, All-Seer. (6:151 )  Say (O Muhammad (PBUH ) )   :“Come, I will recite what your Lord has prohibited you from: be Join not anything in worship with Him, be good and dutiful to your parents, Kill not your children because of poverty – We provide sustenance for you and for them, come not near to Al-Fawahish (shameful sins, illegal sexual intercourse )  whether committed openly or secretly, and kill not anyone whom Allah has forbidden, except for a just cause (according to Islamic law ) . This He has commanded you that you may understand.;
What are the orders of God to mankind;(4:58 )  Verily! Allah commands that you should render back the trusts to those to whom they are due, and that when you judge between men, you judge with justice. Verily, how excellent is the teaching with He (Allah )  gives you! Truly, Allah is Ever All-Hearer, All-Seer. (6:151 )  Say (O Muhammad (PBUH ) )   :“Come, I will recite what your Lord has prohibited you from: be Join not anything in worship with Him, be good and dutiful to your parents, Kill not your children because of poverty – We provide sustenance for you and for them, come not near to Al-Fawahish (shameful sins, illegal sexual intercourse )  whether committed openly or secretly, and kill not anyone whom Allah has forbidden, except for a just cause (according to Islamic law ) . This He has commanded you that you may understand.;
What are the instruction from  Allah to human ?;(4:58 )  Verily! Allah commands that you should render back the trusts to those to whom they are due, and that when you judge between men, you judge with justice. Verily, how excellent is the teaching with He (Allah )  gives you! Truly, Allah is Ever All-Hearer, All-Seer. (6:151 )  Say (O Muhammad (PBUH ) )   :“Come, I will recite what your Lord has prohibited you from: be Join not anything in worship with Him, be good and dutiful to your parents, Kill not your children because of poverty – We provide sustenance for you and for them, come not near to Al-Fawahish (shameful sins, illegal sexual intercourse )  whether committed openly or secretly, and kill not anyone whom Allah has forbidden, except for a just cause (according to Islamic law ) . This He has commanded you that you may understand.;
What are the instructions of God to mankind;(4:58 )  Verily! Allah commands that you should render back the trusts to those to whom they are due, and that when you judge between men, you judge with justice. Verily, how excellent is the teaching with He (Allah )  gives you! Truly, Allah is Ever All-Hearer, All-Seer. (6:151 )  Say (O Muhammad (PBUH ) )   :“Come, I will recite what your Lord has prohibited you from: be Join not anything in worship with Him, be good and dutiful to your parents, Kill not your children because of poverty – We provide sustenance for you and for them, come not near to Al-Fawahish (shameful sins, illegal sexual intercourse )  whether committed openly or secretly, and kill not anyone whom Allah has forbidden, except for a just cause (according to Islamic law ) . This He has commanded you that you may understand.;
What did Allah instruct us to do;(4:58 )  Verily! Allah commands that you should render back the trusts to those to whom they are due, and that when you judge between men, you judge with justice. Verily, how excellent is the teaching with He (Allah )  gives you! Truly, Allah is Ever All-Hearer, All-Seer. (6:151 )  Say (O Muhammad (PBUH ) )   :“Come, I will recite what your Lord has prohibited you from: be Join not anything in worship with Him, be good and dutiful to your parents, Kill not your children because of poverty – We provide sustenance for you and for them, come not near to Al-Fawahish (shameful sins, illegal sexual intercourse )  whether committed openly or secretly, and kill not anyone whom Allah has forbidden, except for a just cause (according to Islamic law ) . This He has commanded you that you may understand.;
Who Guide and help us to the Straight Way ? ;(1:1 – 6 )  1: In the Name of Allah, the Most. Gracious, the Most Merciful. 2: All the praises and thanks be to Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . 3: The Most Gracious, the Most Merciful . 4: The Only Owner (and the only Ruling judge )  of the Day of Recompense (i.e the Day of Resurrection )  5: You (Alone )  we worship, and You (Alone )  we ask for help (for each and everything ) . 6: Guide us to the Straight Way.;
from Whom shall we seek guidance ?;(1:1 – 6 )  1: In the Name of Allah, the Most. Gracious, the Most Merciful. 2: All the praises and thanks be to Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . 3: The Most Gracious, the Most Merciful . 4: The Only Owner (and the only Ruling judge )  of the Day of Recompense (i.e the Day of Resurrection )  5: You (Alone )  we worship, and You (Alone )  we ask for help (for each and everything ) . 6: Guide us to the Straight Way.;
Whom should we call for guidance and help?;(1:1 – 6 )  1: In the Name of Allah, the Most. Gracious, the Most Merciful. 2: All the praises and thanks be to Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . 3: The Most Gracious, the Most Merciful . 4: The Only Owner (and the only Ruling judge )  of the Day of Recompense (i.e the Day of Resurrection )  5: You (Alone )  we worship, and You (Alone )  we ask for help (for each and everything ) . 6: Guide us to the Straight Way.;
From where shall we look for help ?;(1:1 – 6 )  1: In the Name of Allah, the Most. Gracious, the Most Merciful. 2: All the praises and thanks be to Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . 3: The Most Gracious, the Most Merciful . 4: The Only Owner (and the only Ruling judge )  of the Day of Recompense (i.e the Day of Resurrection )  5: You (Alone )  we worship, and You (Alone )  we ask for help (for each and everything ) . 6: Guide us to the Straight Way.;
From where shall we seek guidance ? ;(1:1 – 6 )  1: In the Name of Allah, the Most. Gracious, the Most Merciful. 2: All the praises and thanks be to Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . 3: The Most Gracious, the Most Merciful . 4: The Only Owner (and the only Ruling judge )  of the Day of Recompense (i.e the Day of Resurrection )  5: You (Alone )  we worship, and You (Alone )  we ask for help (for each and everything ) . 6: Guide us to the Straight Way.;
from Whom should we ask for guidance and help?;(1:1 – 6 )  1: In the Name of Allah, the Most. Gracious, the Most Merciful. 2: All the praises and thanks be to Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . 3: The Most Gracious, the Most Merciful . 4: The Only Owner (and the only Ruling judge )  of the Day of Recompense (i.e the Day of Resurrection )  5: You (Alone )  we worship, and You (Alone )  we ask for help (for each and everything ) . 6: Guide us to the Straight Way.;
Who shall we invoke in case of disaster and harm ?;(29:65 )  And when they embark on a ship, they invoke Allah, making their Faith pure for Him Only: but when He brings them safely to land, behold they give a share of their worship to others . (10:12 )  And when harm touches man, he invokes Us, lying on his side, or sitting or standing. But when We have removed his harm from him, he passes on as if he had never invoked Us for a harm that touched him! Thus it is made fair-seeming to the Musrifun that which they used to do.;
 Who shall we mention in time of harm and disaster  ?;(29:65 )  And when they embark on a ship, they invoke Allah, making their Faith pure for Him Only: but when He brings them safely to land, behold they give a share of their worship to others . (10:12 )  And when harm touches man, he invokes Us, lying on his side, or sitting or standing. But when We have removed his harm from him, he passes on as if he had never invoked Us for a harm that touched him! Thus it is made fair-seeming to the Musrifun that which they used to do.;
 Who shall we entreat in case of disaster  ?;(29:65 )  And when they embark on a ship, they invoke Allah, making their Faith pure for Him Only: but when He brings them safely to land, behold they give a share of their worship to others . (10:12 )  And when harm touches man, he invokes Us, lying on his side, or sitting or standing. But when We have removed his harm from him, he passes on as if he had never invoked Us for a harm that touched him! Thus it is made fair-seeming to the Musrifun that which they used to do.;
to whom shall we pray in time of harm  ?;(29:65 )  And when they embark on a ship, they invoke Allah, making their Faith pure for Him Only: but when He brings them safely to land, behold they give a share of their worship to others . (10:12 )  And when harm touches man, he invokes Us, lying on his side, or sitting or standing. But when We have removed his harm from him, he passes on as if he had never invoked Us for a harm that touched him! Thus it is made fair-seeming to the Musrifun that which they used to do.;
to whom shall we pray when a harm or disaster  touched us? ;(29:65 )  And when they embark on a ship, they invoke Allah, making their Faith pure for Him Only: but when He brings them safely to land, behold they give a share of their worship to others . (10:12 )  And when harm touches man, he invokes Us, lying on his side, or sitting or standing. But when We have removed his harm from him, he passes on as if he had never invoked Us for a harm that touched him! Thus it is made fair-seeming to the Musrifun that which they used to do.;
 Who shall we solicit in time of disaster  ?;(29:65 )  And when they embark on a ship, they invoke Allah, making their Faith pure for Him Only: but when He brings them safely to land, behold they give a share of their worship to others . (10:12 )  And when harm touches man, he invokes Us, lying on his side, or sitting or standing. But when We have removed his harm from him, he passes on as if he had never invoked Us for a harm that touched him! Thus it is made fair-seeming to the Musrifun that which they used to do.;
to whom shall we complain in case of harm ?;(29:65 )  And when they embark on a ship, they invoke Allah, making their Faith pure for Him Only: but when He brings them safely to land, behold they give a share of their worship to others . (10:12 )  And when harm touches man, he invokes Us, lying on his side, or sitting or standing. But when We have removed his harm from him, he passes on as if he had never invoked Us for a harm that touched him! Thus it is made fair-seeming to the Musrifun that which they used to do.;
What happened to the previous nations when they  did not obey Allah  ?;( 29:40 )    So We punished each (of them )  for his sins, of them were some on whom We sent Hasib (a violent wind with shower of stones )  (as on the people of Lut (Lot )  , and of them were some who were overtaken by As-saihah (torment – awful cry. (as Thamud or Shuabs people ) , and of them were some whem We caused the earth to swallow (as Qarun (Korah ) , and of them were some whom We drowned (as the people of Nuh (Noah ) , or Firaun (Pharaoh )  and his people ) . It was not Allah Who wronged them, but they wronged themselves.;
What is the end of the previous nations that did not obey God?;( 29:40 )    So We punished each (of them )  for his sins, of them were some on whom We sent Hasib (a violent wind with shower of stones )  (as on the people of Lut (Lot )  , and of them were some who were overtaken by As-saihah (torment – awful cry. (as Thamud or Shuabs people ) , and of them were some whem We caused the earth to swallow (as Qarun (Korah ) , and of them were some whom We drowned (as the people of Nuh (Noah ) , or Firaun (Pharaoh )  and his people ) . It was not Allah Who wronged them, but they wronged themselves.;
What did God do with thefolks that disobeyed Him and did many sins?  ;( 29:40 )    So We punished each (of them )  for his sins, of them were some on whom We sent Hasib (a violent wind with shower of stones )  (as on the people of Lut (Lot )  , and of them were some who were overtaken by As-saihah (torment – awful cry. (as Thamud or Shuabs people ) , and of them were some whem We caused the earth to swallow (as Qarun (Korah ) , and of them were some whom We drowned (as the people of Nuh (Noah ) , or Firaun (Pharaoh )  and his people ) . It was not Allah Who wronged them, but they wronged themselves.;
What is the punishment that Allah has inflicted on the sinful nations?;( 29:40 )    So We punished each (of them )  for his sins, of them were some on whom We sent Hasib (a violent wind with shower of stones )  (as on the people of Lut (Lot )  , and of them were some who were overtaken by As-saihah (torment – awful cry. (as Thamud or Shuabs people ) , and of them were some whem We caused the earth to swallow (as Qarun (Korah ) , and of them were some whom We drowned (as the people of Nuh (Noah ) , or Firaun (Pharaoh )  and his people ) . It was not Allah Who wronged them, but they wronged themselves.;
What is the end of the previous nations that did not obey God?;( 29:40 )    So We punished each (of them )  for his sins, of them were some on whom We sent Hasib (a violent wind with shower of stones )  (as on the people of Lut (Lot )  , and of them were some who were overtaken by As-saihah (torment – awful cry. (as Thamud or Shuabs people ) , and of them were some whem We caused the earth to swallow (as Qarun (Korah ) , and of them were some whom We drowned (as the people of Nuh (Noah ) , or Firaun (Pharaoh )  and his people ) . It was not Allah Who wronged them, but they wronged themselves.;
 what did Allah do for the folks who disobeyed him and make sins;( 29:40 )    So We punished each (of them )  for his sins, of them were some on whom We sent Hasib (a violent wind with shower of stones )  (as on the people of Lut (Lot )  , and of them were some who were overtaken by As-saihah (torment – awful cry. (as Thamud or Shuabs people ) , and of them were some whem We caused the earth to swallow (as Qarun (Korah ) , and of them were some whom We drowned (as the people of Nuh (Noah ) , or Firaun (Pharaoh )  and his people ) . It was not Allah Who wronged them, but they wronged themselves.;
 Does God protect the Quran from corruption?;(15:9 )  Verily, We, it is We Who have sent down the Dhikr (i.e. the Quran )  and surely, We will guard it (from corruption ) ;
Does Allah safeguard the Quran from corruption Is the Qur'an protected  from corruption by God?;(15:9 )  Verily, We, it is We Who have sent down the Dhikr (i.e. the Quran )  and surely, We will guard it (from corruption ) ;
Does God keep the Quran so that it will not be damaged?;(15:9 )  Verily, We, it is We Who have sent down the Dhikr (i.e. the Quran )  and surely, We will guard it (from corruption ) ;
Does Allah protect and save the Quran from to be corrupted ?;(15:9 )  Verily, We, it is We Who have sent down the Dhikr (i.e. the Quran )  and surely, We will guard it (from corruption ) ;
Does Allah save Quran from corruption?;(15:9 )  Verily, We, it is We Who have sent down the Dhikr (i.e. the Quran )  and surely, We will guard it (from corruption ) ;
 Who deserves to be worshiped ?;(20:14 )  “Verily! I am Allah La ilaha illa Ana (none has the right to be worshipped but I ) , so worship Me, and perform As-Salat (Iqamat-assalat )  for My Remembrance.;
 Who we must worship ?;(20:14 )  “Verily! I am Allah La ilaha illa Ana (none has the right to be worshipped but I ) , so worship Me, and perform As-Salat (Iqamat-assalat )  for My Remembrance.;
Who has the right to be worshipped?;(20:14 )  “Verily! I am Allah La ilaha illa Ana (none has the right to be worshipped but I ) , so worship Me, and perform As-Salat (Iqamat-assalat )  for My Remembrance.;
What is the right religion that can be accepted by Allah?;(3:85 )  And whoever seeks a religion other than Islam, it will never be accepted of him and in the Hereafter he will be one of the losers.;
 What religion does God accept?;(3:85 )  And whoever seeks a religion other than Islam, it will never be accepted of him and in the Hereafter he will be one of the losers.;
What is the religion with Allah  ?;(3:85 )  And whoever seeks a religion other than Islam, it will never be accepted of him and in the Hereafter he will be one of the losers.;
Where did the Quran come from  ?  ;(42:3 )  Likewise Allah, the All-Mighty the All-Wise sends Revelation to you (O Muhammad (PBUH )  )    as (He sent Revelation to )  those before you.(6:114 )  (Say (O Muhammad (PBUH ) )    “Shall I seek a judge other than Allah while it is He Who has sent down unto you the book (the Quran ) , explained in detail.” Those unto whom We gave the Scripture (the Taurat (Torah )  and the Injeel (Gospel )  know that it is revealed from your Lord in truth. So be not you of those who doubt.;
from where did the Quran come ?;(42:3 )  Likewise Allah, the All-Mighty the All-Wise sends Revelation to you (O Muhammad (PBUH )  )    as (He sent Revelation to )  those before you.(6:114 )  (Say (O Muhammad (PBUH ) )    “Shall I seek a judge other than Allah while it is He Who has sent down unto you the book (the Quran ) , explained in detail.” Those unto whom We gave the Scripture (the Taurat (Torah )  and the Injeel (Gospel )  know that it is revealed from your Lord in truth. So be not you of those who doubt.;
Who has sent  the Quran ?;(42:3 )  Likewise Allah, the All-Mighty the All-Wise sends Revelation to you (O Muhammad (PBUH )  )    as (He sent Revelation to )  those before you.(6:114 )  (Say (O Muhammad (PBUH ) )    “Shall I seek a judge other than Allah while it is He Who has sent down unto you the book (the Quran ) , explained in detail.” Those unto whom We gave the Scripture (the Taurat (Torah )  and the Injeel (Gospel )  know that it is revealed from your Lord in truth. So be not you of those who doubt.;
 who has revealed the Quran ?;(42:3 )  Likewise Allah, the All-Mighty the All-Wise sends Revelation to you (O Muhammad (PBUH )  )    as (He sent Revelation to )  those before you.(6:114 )  (Say (O Muhammad (PBUH ) )    “Shall I seek a judge other than Allah while it is He Who has sent down unto you the book (the Quran ) , explained in detail.” Those unto whom We gave the Scripture (the Taurat (Torah )  and the Injeel (Gospel )  know that it is revealed from your Lord in truth. So be not you of those who doubt.;
 Why the messengers were sent by Allah ?;(4:64 )  We sent no Messenger, but to be obeyed by Allah’s Leave.;
For what purpose did Allah send messengers ?;(4:64 )  We sent no Messenger, but to be obeyed by Allah’s Leave.;
Is it right to believe in some messengers and disbeleive the others?;(2:285 )  The Messenger (Muhammad (PBUH )  _ )  believes in what has been sent down to him from his Lord, and (so do )  the believers. Each one believes in Allah, His angels, His Books, and His Messengers. (They say ) , “We make no distinction between one another of His Messengers” – and they say, “We hear and we obey. (We seek )  You’re Forgiveness, our Lord, and to You is the return (of all ) .”;
 Is it permissible for us to believe in some messengers and do not believe in others?;(2:285 )  The Messenger (Muhammad (PBUH )  _ )  believes in what has been sent down to him from his Lord, and (so do )  the believers. Each one believes in Allah, His angels, His Books, and His Messengers. (They say ) , “We make no distinction between one another of His Messengers” – and they say, “We hear and we obey. (We seek )  You’re Forgiveness, our Lord, and to You is the return (of all ) .”;
 Are we entitled to believe in some messengers and not to believe in others?;(2:285 )  The Messenger (Muhammad (PBUH )  _ )  believes in what has been sent down to him from his Lord, and (so do )  the believers. Each one believes in Allah, His angels, His Books, and His Messengers. (They say ) , “We make no distinction between one another of His Messengers” – and they say, “We hear and we obey. (We seek )  You’re Forgiveness, our Lord, and to You is the return (of all ) .”;
shall we have right to make distinction between Allah's Messengers;(2:285 )  The Messenger (Muhammad (PBUH )  _ )  believes in what has been sent down to him from his Lord, and (so do )  the believers. Each one believes in Allah, His angels, His Books, and His Messengers. (They say ) , “We make no distinction between one another of His Messengers” – and they say, “We hear and we obey. (We seek )  You’re Forgiveness, our Lord, and to You is the return (of all ) .”;
